,Şehir,İlçe,Cinsiyet,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlköğretim,Ortaokul veya dengi okul,Lise veya dengi okul,Yüksekokul veya fakülte,Yüksek lisans,Doktora,Bilinmeyen,Toplam
62,Sakarya,Taraklı,Kadın,308,219,1147,360,118,298,160,9,0,2,2621
63,Sakarya,Taraklı,Toplam,394,359,1971,740,423,845,420,35,1,7,5195
1,Samsun,Alaçam,Erkek,128,846,3688,1399,964,1725,922,58,10,19,9759
2,Samsun,Alaçam,Kadın,548,1911,3838,1312,535,1374,826,29,6,21,10400
3,Samsun,Alaçam,Toplam,676,2757,7526,2711,1499,3099,1748,87,16,40,20159
5,Samsun,Asarcık,Erkek,67,417,1928,1640,553,952,283,14,4,6,5864
6,Samsun,Asarcık,Kadın,280,1298,2107,1335,230,539,163,6,6,3,5967
7,Samsun,Asarcık,Toplam,347,1715,4035,2975,783,1491,446,20,10,9,11831
9,Samsun,Atakum,Erkek,146,983,7575,5494,4392,20023,21361,2539,1085,406,64004
10,Samsun,Atakum,Kadın,1052,3502,12813,4850,4494,19587,19111,2160,633,443,68645
11,Samsun,Atakum,Toplam,1198,4485,20388,10344,8886,39610,40472,4699,1718,849,132649
13,Samsun,Ayvacık,Erkek,292,775,2612,1805,502,945,396,12,3,15,7357
14,Samsun,Ayvacık,Kadın,1050,1053,2427,1255,291,740,279,7,3,14,7119
15,Samsun,Ayvacık,Toplam,1342,1828,5039,3060,793,1685,675,19,6,29,14476
17,Samsun,Bafra,Erkek,859,2537,15616,9143,5298,10968,6977,445,48,270,52161
18,Samsun,Bafra,Kadın,3800,6720,18377,6780,3997,9951,6430,293,36,270,56654
19,Samsun,Bafra,Toplam,4659,9257,33993,15923,9295,20919,13407,738,84,540,108815
21,Samsun,Canik,Erkek,319,960,8703,8418,3345,8000,4027,269,43,182,34266
22,Samsun,Canik,Kadın,2090,2557,10866,6196,2580,6703,3771,207,25,189,35184
23,Samsun,Canik,Toplam,2409,3517,19569,14614,5925,14703,7798,476,68,371,69450
25,Samsun,Çarşamba,Erkek,699,2934,16539,9733,4813,9630,5003,301,35,333,50020
26,Samsun,Çarşamba,Kadın,3601,7482,17912,7117,2936,7806,4306,162,29,324,51675
27,Samsun,Çarşamba,Toplam,4300,10416,34451,16850,7749,17436,9309,463,64,657,101695
29,Samsun,Havza,Erkek,158,763,5239,1853,1442,3300,1634,134,16,61,14600
30,Samsun,Havza,Kadın,860,2592,6217,1651,855,2138,1180,63,8,55,15619
31,Samsun,Havza,Toplam,1018,3355,11456,3504,2297,5438,2814,197,24,116,30219
33,Samsun,İlkadım,Erkek,651,1992,19673,18236,11744,36389,23524,1858,335,580,114982
34,Samsun,İlkadım,Kadın,5039,7364,31497,13920,10462,32863,22150,1495,232,642,125664
35,Samsun,İlkadım,Toplam,5690,9356,51170,32156,22206,69252,45674,3353,567,1222,240646
37,Samsun,Kavak,Erkek,60,498,2510,1508,769,1730,822,37,3,12,7949
38,Samsun,Kavak,Kadın,435,1912,2706,1110,419,1045,476,11,4,23,8141
39,Samsun,Kavak,Toplam,495,2410,5216,2618,1188,2775,1298,48,7,35,16090
41,Samsun,Ladik,Erkek,40,311,2189,667,696,1642,867,46,5,24,6487
42,Samsun,Ladik,Kadın,297,1169,2761,600,472,997,602,25,1,22,6946
43,Samsun,Ladik,Toplam,337,1480,4950,1267,1168,2639,1469,71,6,46,13433
45,Samsun,Salıpazarı,Erkek,47,907,2644,1611,591,1017,415,19,4,29,7284
46,Samsun,Salıpazarı,Kadın,215,2041,2411,1016,378,754,313,8,5,17,7158
47,Samsun,Salıpazarı,Toplam,262,2948,5055,2627,969,1771,728,27,9,46,14442
49,Samsun,Tekkeköy,Erkek,143,700,5566,3946,1858,4693,1908,78,10,67,18969
50,Samsun,Tekkeköy,Kadın,1081,1716,6844,3210,1374,3259,1535,56,8,67,19150
51,Samsun,Tekkeköy,Toplam,1224,2416,12410,7156,3232,7952,3443,134,18,134,38119
53,Samsun,Terme,Erkek,235,2170,8782,3691,2881,6227,2828,159,19,112,27104
54,Samsun,Terme,Kadın,1482,5973,9180,3063,1862,4551,2268,94,21,86,28580
55,Samsun,Terme,Toplam,1717,8143,17962,6754,4743,10778,5096,253,40,198,55684
57,Samsun,Vezirköprü,Erkek,521,2287,10232,6808,3058,6001,2726,186,24,28,31871
58,Samsun,Vezirköprü,Kadın,2386,5383,12327,5930,1650,3673,1994,107,24,55,33529
59,Samsun,Vezirköprü,Toplam,2907,7670,22559,12738,4708,9674,4720,293,48,83,65400
61,Samsun,Yakakent,Erkek,10,274,1166,419,290,599,406,31,2,13,3210
62,Samsun,Yakakent,Kadın,61,687,1102,470,295,486,343,21,2,2,3469
63,Samsun,Yakakent,Toplam,71,961,2268,889,585,1085,749,52,4,15,6679
65,Samsun,19.May,Erkek,25,482,2958,1609,936,2205,1106,64,11,199,9595
66,Samsun,19.May,Kadın,200,1489,3467,1233,610,1671,865,16,12,182,9745
67,Samsun,19.May,Toplam,225,1971,6425,2842,1546,3876,1971,80,23,381,19340
1,Siirt,Baykan,Erkek,216,456,1421,2295,806,1435,667,29,5,9,7339
2,Siirt,Baykan,Kadın,1504,1325,1635,1357,324,655,312,8,8,15,7143
3,Siirt,Baykan,Toplam,1720,1781,3056,3652,1130,2090,979,37,13,24,14482
5,Siirt,Eruh,Erkek,364,383,856,1124,499,1497,805,28,4,32,5592
6,Siirt,Eruh,Kadın,1444,918,679,843,294,469,293,7,4,31,4982
7,Siirt,Eruh,Toplam,1808,1301,1535,1967,793,1966,1098,35,8,63,10574
9,Siirt,Kurtalan,Erkek,559,775,2199,4003,2067,5013,2332,112,10,81,17151
10,Siirt,Kurtalan,Kadın,2836,3155,3288,3181,985,2321,1113,26,7,160,17072
11,Siirt,Kurtalan,Toplam,3395,3930,5487,7184,3052,7334,3445,138,17,241,34223
13,Siirt,Pervari,Erkek,625,920,1688,1880,646,1161,518,41,2,70,7551
14,Siirt,Pervari,Kadın,2774,1822,1031,1112,257,336,286,15,1,134,7768
15,Siirt,Pervari,Toplam,3399,2742,2719,2992,903,1497,804,56,3,204,15319
17,Siirt,Siirt Merkez,Erkek,1244,2381,4998,8950,4583,12268,9766,795,251,102,45338
18,Siirt,Siirt Merkez,Kadın,7922,6902,7960,7577,2692,6886,5188,265,64,225,45681
19,Siirt,Siirt Merkez,Toplam,9166,9283,12958,16527,7275,19154,14954,1060,315,327,91019
21,Siirt,Şirvan,Erkek,351,643,1367,1653,576,762,363,14,5,24,5758
22,Siirt,Şirvan,Kadın,1549,1084,1092,1167,275,318,243,5,1,76,5810
23,Siirt,Şirvan,Toplam,1900,1727,2459,2820,851,1080,606,19,6,100,11568
25,Siirt,Tillo,Erkek,49,49,180,378,119,393,223,5,1,8,1405
26,Siirt,Tillo,Kadın,251,178,242,280,67,94,52,2,0,8,1174
27,Siirt,Tillo,Toplam,300,227,422,658,186,487,275,7,1,16,2579
1,Sinop,Ayancık,Erkek,154,426,3398,1571,845,1643,1054,49,16,110,9266
2,Sinop,Ayancık,Kadın,815,1180,3801,951,569,1261,760,42,12,99,9490
3,Sinop,Ayancık,Toplam,969,1606,7199,2522,1414,2904,1814,91,28,209,18756
5,Sinop,Boyabat,Erkek,397,614,4582,2742,1992,3403,2040,159,24,52,16005
6,Sinop,Boyabat,Kadın,1658,1575,5818,2510,1286,2307,1333,89,7,58,16641
7,Sinop,Boyabat,Toplam,2055,2189,10400,5252,3278,5710,3373,248,31,110,32646
9,Sinop,Dikmen,Erkek,124,287,777,342,167,243,122,4,2,12,2080
10,Sinop,Dikmen,Kadın,443,430,690,296,59,139,54,3,1,12,2127
11,Sinop,Dikmen,Toplam,567,717,1467,638,226,382,176,7,3,24,4207
13,Sinop,Durağan,Erkek,351,786,1936,1183,636,927,555,34,4,15,6427
14,Sinop,Durağan,Kadın,1156,1108,2212,935,403,537,343,18,4,48,6764
15,Sinop,Durağan,Toplam,1507,1894,4148,2118,1039,1464,898,52,8,63,13191
17,Sinop,Erfelek,Erkek,91,193,2236,710,435,664,364,21,3,36,4753
18,Sinop,Erfelek,Kadın,409,622,2482,463,247,350,218,8,1,28,4828
19,Sinop,Erfelek,Toplam,500,815,4718,1173,682,1014,582,29,4,64,9581
21,Sinop,Gerze,Erkek,142,391,3173,1651,845,2050,1149,68,26,44,9539
22,Sinop,Gerze,Kadın,573,1072,3894,1339,608,1541,1051,43,13,45,10179
23,Sinop,Gerze,Toplam,715,1463,7067,2990,1453,3591,2200,111,39,89,19718
25,Sinop,Saraydüzü,Erkek,75,133,1137,212,239,311,165,10,1,5,2288
26,Sinop,Saraydüzü,Kadın,430,366,1071,159,83,131,72,1,0,3,2316
27,Sinop,Saraydüzü,Toplam,505,499,2208,371,322,442,237,11,1,8,4604
29,Sinop,Sinop Merkez,Erkek,74,281,4728,3039,2230,5810,5310,434,169,81,22156
30,Sinop,Sinop Merkez,Kadın,453,912,7497,2766,1726,5279,4469,258,134,79,23573
31,Sinop,Sinop Merkez,Toplam,527,1193,12225,5805,3956,11089,9779,692,303,160,45729
33,Sinop,Türkeli,Erkek,96,286,1967,849,512,1037,530,28,2,223,5530
34,Sinop,Türkeli,Kadın,651,738,2145,581,408,777,361,15,4,198,5878
35,Sinop,Türkeli,Toplam,747,1024,4112,1430,920,1814,891,43,6,421,11408
1,Sivas,Akıncılar,Erkek,51,150,1012,165,204,336,179,11,2,13,2123
2,Sivas,Akıncılar,Kadın,391,356,809,168,122,193,103,6,2,34,2184
3,Sivas,Akıncılar,Toplam,442,506,1821,333,326,529,282,17,4,47,4307
5,Sivas,Altınyayla,Erkek,68,153,778,763,418,806,297,19,4,56,3362
6,Sivas,Altınyayla,Kadın,455,276,1141,528,173,369,200,5,1,44,3192
7,Sivas,Altınyayla,Toplam,523,429,1919,1291,591,1175,497,24,5,100,6554
9,Sivas,Divriği,Erkek,143,273,2451,645,726,1777,836,49,11,40,6951
10,Sivas,Divriği,Kadın,953,735,2582,434,425,989,534,31,6,94,6783
11,Sivas,Divriği,Toplam,1096,1008,5033,1079,1151,2766,1370,80,17,134,13734
13,Sivas,Doğanşar,Erkek,85,187,440,95,110,186,95,7,0,16,1221
14,Sivas,Doğanşar,Kadın,428,233,386,91,41,80,44,3,0,27,1333
15,Sivas,Doğanşar,Toplam,513,420,826,186,151,266,139,10,0,43,2554
17,Sivas,Gemerek,Erkek,170,436,2278,1003,1090,2372,952,76,7,243,8627
18,Sivas,Gemerek,Kadın,1092,921,3240,776,636,1379,574,34,4,254,8910
19,Sivas,Gemerek,Toplam,1262,1357,5518,1779,1726,3751,1526,110,11,497,17537
21,Sivas,Gölova,Erkek,45,125,623,120,113,154,120,7,1,22,1330
22,Sivas,Gölova,Kadın,292,265,500,97,43,95,49,8,0,34,1383
23,Sivas,Gölova,Toplam,337,390,1123,217,156,249,169,15,1,56,2713
25,Sivas,Gürün,Erkek,147,336,2243,827,785,1657,928,55,11,63,7052
26,Sivas,Gürün,Kadın,958,701,2559,721,490,1041,599,31,6,96,7202
27,Sivas,Gürün,Toplam,1105,1037,4802,1548,1275,2698,1527,86,17,159,14254
29,Sivas,Hafik,Erkek,251,327,1837,422,329,666,239,9,0,47,4127
30,Sivas,Hafik,Kadın,1194,535,1375,317,175,320,114,5,1,73,4109
31,Sivas,Hafik,Toplam,1445,862,3212,739,504,986,353,14,1,120,8236
33,Sivas,İmranlı,Erkek,130,225,1518,401,343,524,262,17,1,72,3493
34,Sivas,İmranlı,Kadın,881,445,1076,211,182,258,134,9,1,134,3331
35,Sivas,İmranlı,Toplam,1011,670,2594,612,525,782,396,26,2,206,6824
37,Sivas,Kangal,Erkek,213,383,2260,1253,1063,2053,902,53,10,101,8291
38,Sivas,Kangal,Kadın,1291,873,2557,886,521,1184,568,25,6,158,8069
39,Sivas,Kangal,Toplam,1504,1256,4817,2139,1584,3237,1470,78,16,259,16360
41,Sivas,Koyulhisar,Erkek,231,314,2046,597,539,842,415,23,6,121,5134
42,Sivas,Koyulhisar,Kadın,1240,615,2068,459,279,449,244,8,4,221,5587
43,Sivas,Koyulhisar,Toplam,1471,929,4114,1056,818,1291,659,31,10,342,10721
45,Sivas,Sivas Merkez,Erkek,1095,1738,16613,19265,13397,41498,24913,2334,898,750,122501
46,Sivas,Sivas Merkez,Kadın,9455,6111,31479,17508,10603,29369,20088,1597,560,1094,127864
47,Sivas,Sivas Merkez,Toplam,10550,7849,48092,36773,24000,70867,45001,3931,1458,1844,250365
49,Sivas,Suşehri,Erkek,200,453,2694,1206,994,2407,1282,66,12,41,9355
50,Sivas,Suşehri,Kadın,1350,986,3231,1292,580,1363,812,35,9,93,9751
51,Sivas,Suşehri,Toplam,1550,1439,5925,2498,1574,3770,2094,101,21,134,19106
53,Sivas,Şarkışla,Erkek,285,621,3161,1853,1879,3825,1651,134,20,307,13736
54,Sivas,Şarkışla,Kadın,1903,1184,4259,1754,1192,2442,1225,67,13,347,14386
55,Sivas,Şarkışla,Toplam,2188,1805,7420,3607,3071,6267,2876,201,33,654,28122
57,Sivas,Ulaş,Erkek,79,177,947,716,448,728,237,14,4,40,3390
58,Sivas,Ulaş,Kadın,526,370,1027,436,204,360,180,10,3,27,3143
59,Sivas,Ulaş,Toplam,605,547,1974,1152,652,1088,417,24,7,67,6533
61,Sivas,Yıldızeli,Erkek,367,805,3627,2812,1308,2225,800,40,6,257,12247
62,Sivas,Yıldızeli,Kadın,1822,1338,4328,1761,620,1258,500,13,6,319,11965
63,Sivas,Yıldızeli,Toplam,2189,2143,7955,4573,1928,3483,1300,53,12,576,24212
65,Sivas,Zara,Erkek,363,544,3372,1105,813,1902,741,53,6,110,9009
66,Sivas,Zara,Kadın,1990,941,2965,710,504,1134,503,10,6,164,8927
67,Sivas,Zara,Toplam,2353,1485,6337,1815,1317,3036,1244,63,12,274,17936
1,Tekirdağ,Çerkezköy,Erkek,293,915,8218,14081,6625,17155,7008,549,72,236,55152
2,Tekirdağ,Çerkezköy,Kadın,1923,2935,13375,11197,4547,11369,6207,396,49,235,52233
3,Tekirdağ,Çerkezköy,Toplam,2216,3850,21593,25278,11172,28524,13215,945,121,471,107385
5,Tekirdağ,Çorlu,Erkek,330,1160,13357,16728,9883,32606,17738,1454,254,597,94107
6,Tekirdağ,Çorlu,Kadın,1990,3443,20987,14491,8540,25426,16655,1301,160,689,93682
7,Tekirdağ,Çorlu,Toplam,2320,4603,34344,31219,18423,58032,34393,2755,414,1286,187789
9,Tekirdağ,Ergene,Erkek,142,465,4913,5700,3034,7028,1854,70,17,133,23356
10,Tekirdağ,Ergene,Kadın,645,1433,6986,4320,2373,4548,1642,56,16,155,22174
11,Tekirdağ,Ergene,Toplam,787,1898,11899,10020,5407,11576,3496,126,33,288,45530
13,Tekirdağ,Hayrabolu,Erkek,164,616,4562,2040,1150,2791,1094,87,15,36,12555
14,Tekirdağ,Hayrabolu,Kadın,711,1485,5255,1766,714,1632,934,45,6,40,12588
15,Tekirdağ,Hayrabolu,Toplam,875,2101,9817,3806,1864,4423,2028,132,21,76,25143
17,Tekirdağ,Kapaklı,Erkek,188,537,6201,11808,4896,12196,3720,201,29,159,39935
18,Tekirdağ,Kapaklı,Kadın,1340,1782,10350,9280,3387,7680,3360,118,17,166,37480
19,Tekirdağ,Kapaklı,Toplam,1528,2319,16551,21088,8283,19876,7080,319,46,325,77415
21,Tekirdağ,Malkara,Erkek,227,805,7847,2447,2125,4591,2392,167,20,66,20687
22,Tekirdağ,Malkara,Kadın,766,1965,9787,2039,1296,2957,1948,106,13,58,20935
23,Tekirdağ,Malkara,Toplam,993,2770,17634,4486,3421,7548,4340,273,33,124,41622
25,Tekirdağ,Marmaraereğlisi,Erkek,64,213,2834,1469,1249,2528,1052,80,7,218,9714
26,Tekirdağ,Marmaraereğlisi,Kadın,326,550,3349,1067,861,1876,892,48,6,166,9141
27,Tekirdağ,Marmaraereğlisi,Toplam,390,763,6183,2536,2110,4404,1944,128,13,384,18855
29,Tekirdağ,Muratlı,Erkek,69,243,2665,1941,1330,3271,1228,72,6,42,10867
30,Tekirdağ,Muratlı,Kadın,318,714,3775,1509,994,2413,1051,61,6,54,10895
31,Tekirdağ,Muratlı,Toplam,387,957,6440,3450,2324,5684,2279,133,12,96,21762
33,Tekirdağ,Saray,Erkek,124,358,4751,3476,1861,6236,2047,120,15,65,19053
34,Tekirdağ,Saray,Kadın,544,985,6738,2932,1479,4032,1918,87,15,60,18790
35,Tekirdağ,Saray,Toplam,668,1343,11489,6408,3340,10268,3965,207,30,125,37843
37,Tekirdağ,Süleymanpaşa,Erkek,473,1186,15139,10264,6795,20963,14873,1444,523,408,72068
38,Tekirdağ,Süleymanpaşa,Kadın,1880,3269,21832,8839,5883,17373,13414,1208,345,392,74435
39,Tekirdağ,Süleymanpaşa,Toplam,2353,4455,36971,19103,12678,38336,28287,2652,868,800,146503
41,Tekirdağ,Şarköy,Erkek,124,550,5144,1789,1327,2652,1455,105,13,132,13291
42,Tekirdağ,Şarköy,Kadın,476,1024,6083,1222,958,2200,1280,76,12,120,13451
43,Tekirdağ,Şarköy,Toplam,600,1574,11227,3011,2285,4852,2735,181,25,252,26742
1,Tokat,Almus,Erkek,154,877,2881,1243,801,1187,625,46,5,39,7858
2,Tokat,Almus,Kadın,938,1668,3065,883,421,798,357,13,4,50,8197
3,Tokat,Almus,Toplam,1092,2545,5946,2126,1222,1985,982,59,9,89,16055
5,Tokat,Artova,Erkek,42,258,956,481,439,700,250,23,2,6,3157
6,Tokat,Artova,Kadın,191,557,1425,377,165,349,138,10,4,6,3222
7,Tokat,Artova,Toplam,233,815,2381,858,604,1049,388,33,6,12,6379
9,Tokat,Başçiftlik,Erkek,9,148,612,298,235,365,248,18,2,9,1944
10,Tokat,Başçiftlik,Kadın,54,447,795,179,116,170,105,5,0,14,1885
11,Tokat,Başçiftlik,Toplam,63,595,1407,477,351,535,353,23,2,23,3829
13,Tokat,Erbaa,Erkek,611,2102,8563,6156,3604,7469,4221,351,47,42,33166
14,Tokat,Erbaa,Kadın,2658,5031,11190,5044,2386,5660,3111,163,28,76,35347
15,Tokat,Erbaa,Toplam,3269,7133,19753,11200,5990,13129,7332,514,75,118,68513
17,Tokat,Niksar,Erkek,267,1584,6528,3094,2548,4815,3082,177,33,107,22235
18,Tokat,Niksar,Kadın,1202,3730,9046,2385,1629,3488,2178,91,14,113,23876
19,Tokat,Niksar,Toplam,1469,5314,15574,5479,4177,8303,5260,268,47,220,46111
21,Tokat,Pazar,Erkek,53,251,1484,864,652,1172,423,20,5,6,4930
22,Tokat,Pazar,Kadın,282,655,2114,759,299,763,286,9,2,14,5183
23,Tokat,Pazar,Toplam,335,906,3598,1623,951,1935,709,29,7,20,10113
25,Tokat,Reşadiye,Erkek,230,1003,3653,1342,1142,2458,1181,72,8,52,11141
26,Tokat,Reşadiye,Kadın,1044,2438,4510,1230,582,1381,621,28,10,61,11905
27,Tokat,Reşadiye,Toplam,1274,3441,8163,2572,1724,3839,1802,100,18,113,23046
29,Tokat,Sulusaray,Erkek,17,201,751,702,270,457,195,14,3,15,2625
30,Tokat,Sulusaray,Kadın,125,499,1095,455,108,268,119,2,0,14,2685
31,Tokat,Sulusaray,Toplam,142,700,1846,1157,378,725,314,16,3,29,5310
33,Tokat,Tokat Merkez,Erkek,465,2035,11225,11158,6495,17929,14056,1483,578,116,65540
34,Tokat,Tokat Merkez,Kadın,2891,5361,19080,10531,4965,14414,10314,899,304,177,68936
35,Tokat,Tokat Merkez,Toplam,3356,7396,30305,21689,11460,32343,24370,2382,882,293,134476
37,Tokat,Turhal,Erkek,285,1606,6826,4041,3378,7958,4302,280,38,123,28837
38,Tokat,Turhal,Kadın,1491,4570,10684,3827,2234,5427,2962,182,36,151,31564
39,Tokat,Turhal,Toplam,1776,6176,17510,7868,5612,13385,7264,462,74,274,60401
41,Tokat,Yeşilyurt,Erkek,41,306,808,657,439,586,247,16,1,21,3122
42,Tokat,Yeşilyurt,Kadın,206,610,1216,543,170,323,139,6,1,23,3237
43,Tokat,Yeşilyurt,Toplam,247,916,2024,1200,609,909,386,22,2,44,6359
45,Tokat,Zile,Erkek,380,1708,5885,2168,2278,5297,2551,169,38,48,20522
46,Tokat,Zile,Kadın,1524,3695,8123,2111,1553,3390,1731,124,25,59,22335
47,Tokat,Zile,Toplam,1904,5403,14008,4279,3831,8687,4282,293,63,107,42857
1,Trabzon,Akçaabat,Erkek,477,1327,8554,5697,4402,13780,8254,752,193,257,43693
2,Trabzon,Akçaabat,Kadın,4108,4843,10747,4400,3359,10430,6624,475,118,274,45378
3,Trabzon,Akçaabat,Toplam,4585,6170,19301,10097,7761,24210,14878,1227,311,531,89071
5,Trabzon,Araklı,Erkek,217,651,4309,3307,1791,4127,1988,114,22,157,16683
6,Trabzon,Araklı,Kadın,2090,1517,6139,2299,1212,2758,1336,54,12,244,17661
7,Trabzon,Araklı,Toplam,2307,2168,10448,5606,3003,6885,3324,168,34,401,34344
9,Trabzon,Arsin,Erkek,162,396,2583,1910,1078,2694,1265,78,9,64,10239
10,Trabzon,Arsin,Kadın,1151,1331,3046,1774,644,1841,893,25,8,86,10799
11,Trabzon,Arsin,Toplam,1313,1727,5629,3684,1722,4535,2158,103,17,150,21038
13,Trabzon,Beşikdüzü,Erkek,72,152,1355,565,908,2984,1785,98,10,40,7969
14,Trabzon,Beşikdüzü,Kadın,843,830,2173,502,727,2330,1371,79,11,36,8902
15,Trabzon,Beşikdüzü,Toplam,915,982,3528,1067,1635,5314,3156,177,21,76,16871
17,Trabzon,Çarşıbaşı,Erkek,107,256,1467,716,716,1782,803,39,5,20,5911
18,Trabzon,Çarşıbaşı,Kadın,614,892,1666,648,372,1110,520,22,4,26,5874
19,Trabzon,Çarşıbaşı,Toplam,721,1148,3133,1364,1088,2892,1323,61,9,46,11785
21,Trabzon,Çaykara,Erkek,85,219,1452,601,565,1433,885,53,11,70,5374
22,Trabzon,Çaykara,Kadın,744,869,1946,434,302,831,458,35,2,64,5685
23,Trabzon,Çaykara,Toplam,829,1088,3398,1035,867,2264,1343,88,13,134,11059
25,Trabzon,Dernekpazarı,Erkek,21,77,534,142,180,399,231,14,3,7,1608
26,Trabzon,Dernekpazarı,Kadın,296,254,640,109,73,219,108,7,1,17,1724
27,Trabzon,Dernekpazarı,Toplam,317,331,1174,251,253,618,339,21,4,24,3332
29,Trabzon,Düzköy,Erkek,94,199,1415,912,565,1439,439,16,3,46,5128
30,Trabzon,Düzköy,Kadın,900,792,1740,674,335,772,291,10,4,36,5554
31,Trabzon,Düzköy,Toplam,994,991,3155,1586,900,2211,730,26,7,82,10682
33,Trabzon,Hayrat,Erkek,67,130,1049,537,351,660,269,9,3,21,3096
34,Trabzon,Hayrat,Kadın,565,446,1282,348,169,355,145,7,2,29,3348
35,Trabzon,Hayrat,Toplam,632,576,2331,885,520,1015,414,16,5,50,6444
37,Trabzon,Köprübaşı,Erkek,35,104,552,223,182,531,209,15,2,36,1889
38,Trabzon,Köprübaşı,Kadın,330,313,646,179,57,270,112,6,5,36,1954
39,Trabzon,Köprübaşı,Toplam,365,417,1198,402,239,801,321,21,7,72,3843
41,Trabzon,Maçka,Erkek,84,367,2653,1234,914,2640,1400,55,10,99,9456
42,Trabzon,Maçka,Kadın,1138,1097,3351,781,607,1785,889,37,7,95,9787
43,Trabzon,Maçka,Toplam,1222,1464,6004,2015,1521,4425,2289,92,17,194,19243
45,Trabzon,Of,Erkek,189,449,4118,2483,1847,4389,2334,156,14,101,16080
46,Trabzon,Of,Kadın,1635,1908,6174,1847,1139,2640,1517,62,16,117,17055
47,Trabzon,Of,Toplam,1824,2357,10292,4330,2986,7029,3851,218,30,218,33135
49,Trabzon,Ortahisar,Erkek,726,1465,16956,13507,10472,39799,26432,2825,1175,758,114115
50,Trabzon,Ortahisar,Kadın,6424,6342,24152,9781,8963,36208,24047,2333,663,922,119835
51,Trabzon,Ortahisar,Toplam,7150,7807,41108,23288,19435,76007,50479,5158,1838,1680,233950
53,Trabzon,Sürmene,Erkek,75,253,2444,1341,933,2848,1410,96,18,75,9493
54,Trabzon,Sürmene,Kadın,1110,1130,3266,1047,608,1847,1086,61,6,65,10226
55,Trabzon,Sürmene,Toplam,1185,1383,5710,2388,1541,4695,2496,157,24,140,19719
57,Trabzon,Şalpazarı,Erkek,104,272,1283,458,524,1159,590,30,3,24,4447
58,Trabzon,Şalpazarı,Kadın,872,648,1675,342,279,645,290,6,3,24,4784
59,Trabzon,Şalpazarı,Toplam,976,920,2958,800,803,1804,880,36,6,48,9231
61,Trabzon,Tonya,Erkek,121,261,1075,633,709,1878,847,60,6,38,5628
62,Trabzon,Tonya,Kadın,899,587,1843,466,472,1346,544,23,7,33,6220
63,Trabzon,Tonya,Toplam,1020,848,2918,1099,1181,3224,1391,83,13,71,11848
65,Trabzon,Vakfıkebir,Erkek,119,286,2000,956,1056,3516,1890,121,14,54,10012
66,Trabzon,Vakfıkebir,Kadın,998,1115,2730,985,777,2619,1475,74,13,59,10845
67,Trabzon,Vakfıkebir,Toplam,1117,1401,4730,1941,1833,6135,3365,195,27,113,20857
69,Trabzon,Yomra,Erkek,149,439,2747,1893,1384,3761,2306,233,99,81,13092
70,Trabzon,Yomra,Kadın,1083,1468,3546,1431,861,2896,2003,205,74,72,13639
71,Trabzon,Yomra,Toplam,1232,1907,6293,3324,2245,6657,4309,438,173,153,26731
1,Tunceli,Çemişgezek,Erkek,51,69,974,333,288,883,408,29,6,10,3051
2,Tunceli,Çemişgezek,Kadın,300,268,1148,337,175,473,260,16,1,9,2987
3,Tunceli,Çemişgezek,Toplam,351,337,2122,670,463,1356,668,45,7,19,6038
5,Tunceli,Hozat,Erkek,77,92,467,251,197,855,455,31,0,32,2457
6,Tunceli,Hozat,Kadın,358,191,478,173,153,415,233,14,1,27,2043
7,Tunceli,Hozat,Toplam,435,283,945,424,350,1270,688,45,1,59,4500
9,Tunceli,Mazgirt,Erkek,150,172,795,509,412,1022,384,17,0,66,3527
10,Tunceli,Mazgirt,Kadın,755,398,849,235,217,447,232,8,0,50,3191
11,Tunceli,Mazgirt,Toplam,905,570,1644,744,629,1469,616,25,0,116,6718
13,Tunceli,Nazımiye,Erkek,29,79,393,197,113,529,234,10,3,34,1621
14,Tunceli,Nazımiye,Kadın,250,152,339,71,71,193,85,5,1,22,1189
15,Tunceli,Nazımiye,Toplam,279,231,732,268,184,722,319,15,4,56,2810
17,Tunceli,Ovacık,Erkek,113,112,670,346,335,942,429,23,1,47,3018
18,Tunceli,Ovacık,Kadın,413,299,685,179,151,354,249,10,0,48,2388
19,Tunceli,Ovacık,Toplam,526,411,1355,525,486,1296,678,33,1,95,5406
21,Tunceli,Pertek,Erkek,127,130,1089,639,497,1264,671,44,3,48,4512
22,Tunceli,Pertek,Kadın,583,357,1392,381,400,678,432,22,1,55,4301
23,Tunceli,Pertek,Toplam,710,487,2481,1020,897,1942,1103,66,4,103,8813
25,Tunceli,Pülümür,Erkek,63,48,508,203,187,453,231,10,3,36,1742
26,Tunceli,Pülümür,Kadın,267,143,404,93,71,171,100,8,0,22,1279
27,Tunceli,Pülümür,Toplam,330,191,912,296,258,624,331,18,3,58,3021
29,Tunceli,Tunceli Merkez,Erkek,206,194,1402,1427,1057,5362,4200,316,103,132,14399
30,Tunceli,Tunceli Merkez,Kadın,1225,541,1583,1078,852,3532,3357,266,62,89,12585
31,Tunceli,Tunceli Merkez,Toplam,1431,735,2985,2505,1909,8894,7557,582,165,221,26984
1,Uşak,Banaz,Erkek,57,379,4449,2780,1571,2995,1324,64,6,150,13775
2,Uşak,Banaz,Kadın,399,1309,6338,2126,1035,1872,1031,39,10,160,14319
